epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3624.29,1.06991,1.54712,1.28682,0.89067,0.78048,0.85318,0.60965,0.91886,1.01534,1.16398,0.000415771,0.000415771,0.000415771
2,16473.9,1.01558,1.06073,1.22033,0.83723,0.74391,0.82376,0.58205,0.99223,0.88261,1.22478,0.000777496,0.000777496,0.000777496
3,20712.9,0.99542,0.97221,1.20572,0.90239,0.78348,0.8713,0.68339,0.88059,0.70405,1.11726,0.00108422,0.00108422,0.00108422
4,24900.5,0.95534,0.87498,1.17285,0.93449,0.90778,0.95193,0.7575,0.8212,0.54934,1.07142,0.0010025,0.0010025,0.0010025
5,28536.4,0.90885,0.80913,1.14779,0.94279,0.89969,0.96373,0.75476,0.80299,0.52239,1.06403,0.00092,0.00092,0.00092
6,32046.4,0.81385,0.64489,1.10667,0.91349,0.92601,0.95339,0.7662,0.77362,0.48288,1.04953,0.0008375,0.0008375,0.0008375
7,47855.6,0.76965,0.57553,1.07541,0.95611,0.9525,0.95692,0.82013,0.75795,0.408,1.03302,0.000755,0.000755,0.000755
8,61235.7,0.73192,0.52763,1.05052,0.9653,0.95918,0.98002,0.83149,0.71754,0.39419,1.00604,0.0006725,0.0006725,0.0006725
9,64579.1,0.69936,0.49581,1.03209,0.98128,0.94083,0.97698,0.83945,0.66457,0.35117,0.96669,0.00059,0.00059,0.00059
10,67389.7,0.66946,0.4669,1.01457,0.96815,0.95776,0.97999,0.84475,0.65994,0.33918,0.95957,0.0005075,0.0005075,0.0005075
11,70778,0.64721,0.44005,1.00492,0.96627,0.97144,0.98188,0.86581,0.64084,0.33178,0.94966,0.000425,0.000425,0.000425
12,75136,0.62035,0.4207,0.9891,0.97812,0.96806,0.98323,0.85541,0.60095,0.31154,0.9244,0.0003425,0.0003425,0.0003425
13,78414.1,0.60083,0.39647,0.98206,0.97427,0.97582,0.98553,0.8667,0.58163,0.2939,0.90958,0.00026,0.00026,0.00026
14,81489,0.57424,0.37642,0.96642,0.98085,0.96705,0.98208,0.89059,0.56133,0.27404,0.89975,0.0001775,0.0001775,0.0001775
15,84573.1,0.55483,0.35708,0.95443,0.98228,0.972,0.98437,0.89212,0.54364,0.26493,0.88422,9.5e-05,9.5e-05,9.5e-05
